Particpant,Class,Group,GroupName,Q9,Overall
1,1,1,Chocolate,3,2.44
2,1,1,Chocolate,3,2.56
3,1,1,Chocolate,5,4.33
4,1,1,Chocolate,4,4.56
5,1,1,Chocolate,5,4.56
6,1,1,Chocolate,5,4.22
7,1,1,Chocolate,3,3.56
8,1,1,Chocolate,5,4.67
9,1,1,Chocolate,4,3.67
10,1,1,Chocolate,4,4.22
11,1,1,Chocolate,2,2.67
12,1,1,Chocolate,4,4.11
13,1,1,Chocolate,5,4.89
14,1,1,Chocolate,4,4.22
15,1,1,Chocolate,4,3.89
16,1,1,Chocolate,4,3.78
17,1,1,Chocolate,3,2.89
18,1,2,NOChoc,4,3.67
19,1,2,NOChoc,3,2.56
20,1,2,NOChoc,3,3.33
21,1,2,NOChoc,4,3.44
22,1,2,NOChoc,3,2.89
23,1,2,NOChoc,4,3.78
24,1,2,NOChoc,5,5.00
25,1,2,NOChoc,5,4.44
26,1,2,NOChoc,4,3.67
27,1,2,NOChoc,3,3.00
28,1,2,NOChoc,1,2.00
29,1,2,NOChoc,4,3.78
30,2,1,Chocolate,5,4.44
31,2,1,Chocolate,5,4.56
32,2,1,Chocolate,5,4.78
33,2,1,Chocolate,3,3.44
34,2,1,Chocolate,3,3.67
35,2,1,Chocolate,4,4.00
36,2,1,Chocolate,4,4.00
37,2,1,Chocolate,5,4.11
38,2,1,Chocolate,5,5.00
39,2,1,Chocolate,3,3.67
40,2,1,Chocolate,3,3.67
41,2,1,Chocolate,2,3.00
42,2,1,Chocolate,5,4.56
43,2,1,Chocolate,4,4.00
44,2,1,Chocolate,4,4.11
45,2,2,NOChoc,4,3.33
46,2,2,NOChoc,3,3.11
47,2,2,NOChoc,4,3.89
48,2,2,NOChoc,5,4.22
49,2,2,NOChoc,4,4.22
50,2,2,NOChoc,5,5.00
51,2,2,NOChoc,4,4.22
52,2,2,NOChoc,5,3.89
53,2,2,NOChoc,3,2.78
54,2,2,NOChoc,5,4.67
55,2,2,NOChoc,5,3.89
56,2,2,NOChoc,4,3.89
57,2,2,NOChoc,5,4.22
58,2,2,NOChoc,4,4.00
59,2,2,NOChoc,4,3.78
60,2,2,NOChoc,4,4.00
61,2,2,NOChoc,3,3.56
62,2,2,NOChoc,4,4.00
63,2,2,NOChoc,2,3.11
64,3,1,Chocolate,5,4.44
65,3,1,Chocolate,3,2.89
66,3,1,Chocolate,5,4.89
67,3,1,Chocolate,5,4.89
68,3,1,Chocolate,5,4.56
69,3,1,Chocolate,5,5.00
70,3,1,Chocolate,4,4.56
71,3,1,Chocolate,5,4.67
72,3,1,Chocolate,5,4.67
73,3,1,Chocolate,5,5.00
74,3,1,Chocolate,5,5.00
75,3,1,Chocolate,3,3.67
76,3,1,Chocolate,3,3.00
77,3,1,Chocolate,5,4.44
78,3,1,Chocolate,4,3.89
79,3,1,Chocolate,3,3.67
80,3,1,Chocolate,4,3.78
81,3,1,Chocolate,5,4.33
82,3,2,NOChoc,3,4.33
83,3,2,NOChoc,5,4.44
84,3,2,NOChoc,3,3.00
85,3,2,NOChoc,3,3.56
86,3,2,NOChoc,4,4.22
87,3,2,NOChoc,3,3.89
88,3,2,NOChoc,4,4.22
89,3,2,NOChoc,5,4.56
90,3,2,NOChoc,3,3.78
91,3,2,NOChoc,4,4.22
92,3,2,NOChoc,3,3.00
93,3,2,NOChoc,5,4.67
94,3,2,NOChoc,4,4.22
95,3,2,NOChoc,5,4.56
96,3,2,NOChoc,5,4.33
97,3,2,NOChoc,5,4.56
98,3,2,NOChoc,4,3.89
