Month,Energy,Condition
41275,7308,S
41306,6984,S
41334,7874,S
41365,7328,S
41395,7089,S
41426,5730,S
41456,4531,S
41487,4587,S
41518,5985,S
41548,7051,S
41579,6724,S
41609,6883,S
41275,8917,D1
41306,8658,D1
41334,9227,D1
41365,7930,D1
41395,7605,D1
41426,6350,D1
41456,5120,D1
41487,5171,D1
41518,6862,D1
41548,8608,D1
41579,8264,D1
41609,8297,D1
41275,9875,D2
41306,9862,D2
41334,11092,D2
41365,9287,D2
41395,8422,D2
41426,7069,D2
41456,5783,D2
41487,5933,D2
41518,8208,D2
41548,10008,D2
41579,9238,D2
41609,9144,D2
41275,10196,D3
41306,9765,D3
41334,11861,D3
41365,10343,D3
41395,9110,D3
41426,7536,D3
41456,6179,D3
41487,6422,D3
41518,8925,D3
41548,10239,D3
41579,9334,D3
41609,9808,D3
